,questions,answer,doc_page,doc_content,doc_source,label
45,"เมื่อสวิตช์ไฟอยู่ในตำแหน่ง "" "" หรือ "" "" ขณะโหมดการทำงานอยู่ที่ตำแหน่ง ON ไฟจะเปิดหรือดับอัตโนมัติในระยะเวลาใด?",ไฟจะดับลงโดยอัตโนมัติภายในระยะเวลาหนึ่งหลังจากโหมดการทำงานอยู่ที่ OFF,132,หลังจากบิด สวิตช์กุญแจไปที่ตําแหน่ง “LOCK” [สําหรับรถรุ่นที่ติดตั้งระบบกุญแจอัจฉริยะ] เมื่อสวิตช์ไฟอยู่ในตําแหน่ง “ ” หรือ “ ” ขณะโหมดการทํางานอยู่ที่ตําแหน่ง ON ไฟจะดับลง โดยอัตโนมัติภายในระยะเวลาหนึ่งหลังจากโหมด การทํางานอยู่ที่ OFF  -[ยกเว้นรถรุ่นที่ติดตั้งระบบกุญแจอัจฉริยะ] เมื่อสวิตช์ไฟยังคงอยู่ในตําแหน่ง “ ” หรือ “ ” หลังจากที่ไฟดับลงโดยอัตโนมัติ ไฟจะติดเมื่อบิด สวิตช์กุญแจไปที่ตําแหน่ง “ON” [สําหรับรถรุ่นที่ติดตั้งระบบกุญแจอัจฉริยะ] เมื่อสวิตช์ไฟค้างอยู่ในตําแหน่ง “ ” หรือ “ ” หลังจากไฟดับอัตโนมัติ ไฟจะติดสว่างเมื่อโหมด การทํางานอยู่ที่ ON  ข้อควรระวัง,docs/Text_PDF_.pdf,"['งาน', 'อัจฉริยะ]', 'ควรระวัง', '[ยกเว้น', 'รถรุ่น']"
46,การเช็ดชุบน้ำอุ่นทำอย่างไร?,ไม่มีข้อมูลในเนื้อหาที่ให้มาที่กล่าวถึงการเช็ดชุบน้ำอุ่น ดังนั้นฉันไม่สามารถตอบคำถามของคุณได้,327,ชุบนํ้าอุ่นเช็ด ข้อควรระวัง  ห้ามใช้แปรงลวดหรืออุปกรณ์อื่นๆ ที่สามารถทําให้เกิดรอย เพราะชิ้นส่วนที่เป็นพลาสติกจะเสียหายได้ ข้อควรระวัง  อย่าให้ชิ้นส่วนที่เป็นพลาสติกสัมผัสถูกนํ้ามันเชื้อเพลิง นํ้ามันเบรก นํ้ามันเครื่อง จาระบีทินเนอร์ และนํ้ากรด (อิเล็กโทรไลต์ของแบตเตอรี่) เพราะอาจทําให้เป็นรอยด่าง แตกร้าว หรือสีหลุดลอกได้ นอกจากนี้อย่าลืมหลีกเลี่ยงการสัมผัสกับสารเคมีเช่น วัสดุเคลือบ แม้เพียงช่วงสั้นๆ เพราะจะทําให้ เกิดการแตกร้าวที่ทําให้นํ้าเข้าไปในหลอดได้หากสิ่งเหล่านี้สัมผัสถูกชิ้นส่วนพลาสติก ให้รีบเช็ด ออกด้วยผํานุ่มหรือหนังชามัวส์ชุบนํ้าผสมนํ้ายาทําความสะอาดที่เป็นกลางแล้วล้างด้วยนํ้าทันที,docs/Text_PDF_.pdf,"['มัวส์ชุบนํ้าผสมนํ้ายาทํา', 'ชามัวส์ชุบน', 'อาจทํา', 'ควรระวัง', 'อย่าให้']"
47,การเลือกโหมดการขับเคลื่อน 4 ล้อเกิดขึ้นได้อย่างไร?,"การเลือกโหมดการขับเคลื่อน 4 ล้อเกิดขึ้นโดยการกดปุ่มเลือกโหมดการขับเคลื่อน 4 ล้อที่ตำแหน่งที่สอดคล้องกับสภาพการทำงานที่ต้องการ เช่น ตำแหน่ง ""4H"" หรือ ""4HLc"" ซึ่งจะเป็นการเปลี่ยนโหมดการขับเคลื่อน 4 ล้อให้เข้ากับสภาพถนนหรือเงื่อนไขการขับขี่ที่ต้องการ",192,ให้ขับรถช้าๆ ตามปกติหลังจากตรวจดูแล้วว่าไฟสว่างขึ้น ○หากไฟแสดงการทํางาน 2WD/4WD ไม่หยุดกะพริบหลังจากเลือก “2H”  “4H” ขณะที่รถกําลังเคลื่อนที่ ให้จับพวงมาลัยให้ตรง แล้วเหยียบคันเร่งช้าๆ หลายๆ ครั้ง “4H”  “4L” ตําแหน่งปุ่มเลือกการขับเคลื่อน 4 ล้อไฟแสดงการทํางาน2Hกําลังเปลี่ยนโหมดการขับเคลื่อน 4 ล้อ4H,docs/Text_PDF_.pdf,"['ทํางาน2Hกําลังเปลี่ยน', 'ทํางาน2Hกําลัง', 'งาน', 'จากตรวจ', 'ขับ']"
48,ไฟแสดงการทำงานของโหมดการขับเคลื่อน 4 ล้อจะแสดงอย่างไร?,ไฟแสดงการทำงานของโหมดการขับเคลื่อน 4 ล้อจะแสดงอย่างต่อเนื่อง (สว่างค้าง) หรือดับอย่างใดอย่างหนึ่ง,206,": กะพริบ (ตัวแสดงโหมดการขับเคลื่อน4 ล้อกะพริบด้วย) : สว่าง (ค้าง) : ดับ *: การแสดงในกรณีของตัวแสดงการทํางาน AWC หมายเหตุ ●ไฟแสดง/ตัวแสดงและตัวแสดงโหมดการขับเคลื่อน 4 ล้อจะกะพริบขณะที่ล็อกเฟืองท้ายหลังกําลังเปลี่ยนสถานะระหว่างการเปิดใช้งานกับการปิดใช้งาน เมื่อการเปลี่ยนเสร็จสมบูรณ์แล้ว ไฟแสดง/ตัวแสดงจะสว่างค้างหรือดับอย่างใดอย่างหนึ่ง ●ฟังก์ชัน ASTC และ ABS จะถูกยกเลิกชั่วคราวขณะที่ล็อกเฟืองท้ายหลังเปิดใช้งาน ไฟแสดง ASTC, ไฟแสดง ASTC OFF และไฟเตือน ABS จะสว่างขณะที่ฟังก์ชันเหล่านี้ถูกยกเลิกชั่วคราว แต่ไม่ได้แสดงถึงปัญหาแต่อย่างใด เมื่อปิดการใช้งานล็อกเฟืองท้ายหลังแล้ว ไฟตัวแสดงเหล่านี้จะดับ",docs/Text_PDF_.pdf,"['ค้าง', 'งาน', 'ล้อจะ', 'แสดงถึง', 'เปลี่ยนสถานะ']"
49,เมื่อขับรถอยู่บนทางลาดชันควรสตาร์ทเครื่องยนต์ในตำแหน่งใด?,"ควรสตาร์ทเครื่องยนต์ในตำแหน่ง ""P"" (จอด) เมื่อขับรถอยู่บนทางลาดชัน",184,คําเตือน ●ห้ามเลื่อนคันเกียร์ไปที่ตําแหน่ง “N” (เกียร์ว่าง) ขณะที่ขับรถอยู่ เพราะอาจทําให้คันเกียร์เลื่อนไปที่ตําแหน่ง “P” (จอด) หรือ “R” (เกียร์ถอย) โดยบังเอิญ ทําให้เกิดอุบัติเหตุร้ายแรงและไม่สามารถใช้เครื่องยนต์ช่วยเบรกได้ ●บนทางลาดชัน ควรสตาร์ทเครื่องยนต์ในตําแหน่ง“P” (จอด) ห้ามใช้ตําแหน่ง “N” (เกียร์ว่าง) คําเตือน ●ควรวางเท้าไว้บนแป้นเบรกเสมอเมื่อรถอยู่ในตําแหน่ง“N” (เกียร์ว่าง) หรือเมื่อต้องการเลื่อนเข้าหรือออกจากตําแหน่ง “N” (เกียร์ว่าง) เพื่อไม่ให้เสียการควบคุมรถ “D” ขับเคลื่อน ตําแหน่งนี้ใช้สําหรับขับรถตามปกติทั้งในเมืองและบนทางด่วน,docs/Text_PDF_.pdf,"['เกียร์ว่าง', 'อาจทํา', 'จอด', 'เบรกได้', 'ขับ']"
50,ขนาดกระบอกสูบของรถคือเท่าไหร่?,ขนาดกระบอกสูบของรถคือ 86.0 มม.,355,"จํานวนกระบอกสูบ : สูบเรียง 4 สูบ ปริมาตรกระบอกสูบ : 2,442 ซีซี ขนาดกระบอกสูบ : 86.0 มม. ระยะชัก : 105.1 มม. แคมชาฟท์ : โอเวอร์เฮดแคมชาฟท์คู่ การเตรียมส่วนผสม : ไดเรกต์อินเจกชันแบบอิเล็กทรอนิกส์ แรงม้าสูงสุด (EEC net) : 135 kW/3,500 รอบ/นาที แรงบิดสูงสุด (EEC net) : 430 N•m/2,250 ~ 2,500 รอบ/นาที ข้อมูลทางเทคนิค ระบบไฟฟ้า หมายเหตุ ●รถรุ่นที่ติดตั้งระบบ Auto Stop & Go (AS&G) ใช้แบตเตอรี่ชนิด AS&G โดยเฉพาะการใช้แบตเตอรี่ชนิดอื่นอาจทําให้แบตเตอรี่หมดเร็วหรือทําให้ระบบ AS&G ทํางานผิดปกติกรุณาติดต่อศูนย์บริการมิตซูบิชิที่ได้รับอนุญาตเมื่อจะเปลี่ยนแบตเตอรี่แรงเคลื่อนไฟฟ้า : 12 V แบตเตอรี่ ชนิด (EN) :",docs/Text_PDF_.pdf,"['EECnet', 'AS&G', 'net', '430', 'งาน']"
51,การเปลี่ยนชิ้นส่วนที่ชำรุดเสียหายควรใช้อะไหล่แท้หรือเทียม?,ควรใช้อะไหล่แท้ของมิตซูบิชิเท่านั้นเพื่อให้รถของคุณสามารถทำงานได้อย่างมีประสิทธิภาพสูงสุด ชิ้นส่วนต่างๆของรถจะมีประสิทธิภาพลดลงในกรณีที่ใช้อะไหล่เทียม การไม่ใช้อะไหล่แท้ยังอาจทำให้หมดสิทธิ์เรียกร้องการรับประกันได้หากเราพบว่าความผิดพลาดที่เกิดขึ้นกับรถของคุณนั้นมีสาเหตุมาจากการใช้อะไหล่เทียม,26,"ๆ 
อะไหล่แท้  
-
 การเปลี่ยนชิ้นส่วนที่ชํารุดเสียหายนั้นควรหลีกเลี่ยงการใช้อะไหล่เทียมเนื่องจากมิตซูบิชิได้ศึกษาค้นคว้าออกแบบและผลิตมาด้วยเทคโนโ ล
ยีที่ทันสมัยทําให้ทุกชิ้นส่วนมีคุณภาพสูงเพื่อให้ลูกค้าของมิตซูบิชิมั่นใจได้ว่าชิ้นส่วนทุกชิ้นนั้นได้มาตรฐานการใช้อะไหล่เทียมจะ ทําให้คุณภาพดังกล่าวล
ดลงควรใช้แต่อะไหล่แท้ของมิตซูบิชิเท่านั้นเพื่อให้รถของคุณสามารถทํางานได้อย่างมีประสิทธิภาพสูงสุดชิ้นส่วนต่างๆของรถจะมีประสิทธิ ภาพลดลงใน
กรณีที่ใช้อะไหล่เทียมการไม่ใช้อะไหล่แท้ยังอาจทําให้หมดสิทธิ ์เรียกร้องการรับประกันได้หากเราพบว่าความผิดพลาด ที่เกิดขึ้นกับรถของคุณนั้นมีสาเห",docs/Text_PDF_.pdf,"['งาน', 'อาจทํา', 'มิตซูบิชิ', 'ทุกชิ้นส่วน', 'ชิ้นส่วนต่างๆ']"
52,ควรติดตั้งอุปกรณ์นิรภัยสำหรับเด็กที่ไหนเพื่อให้เกิดความปลอดภัยสูงสุด?,ควรติดตั้งอุปกรณ์นิรภัยสำหรับเด็กไว้ที่เบาะนั่งหลัง (ดับเบิลแค็บ) เพื่อให้เกิดความปลอดภัยสูงสุด,60,"และใช้เบาะเสริมสําหรับเด็กควบคู่ด้วย  
-  เลือกอุปกรณ์นิรภัยสําหรับเด็กให้เหมาะสมกับนํ้าหนักและความสูงของเด็ก  รวมถึงสามารถติดตั้งได้พอดีกับรถของคุณ  
เพื่อให้เกิดความปลอดภัยสูงสุด: ควรติดตั้งอุปกรณ์นิรภัยสําหรับเด็กไว้ที่เบาะนั่งหลัง (ดับเบิลแค็บ ) 
-  ก่อนจะเลือกซื้ออุปกรณ์นิรภัยสําหรับเด็ก  จะต้องทดลองติดตั้งว่าใส่ได้พอดีกับตัวล็อกของเข็มขัดนิรภัยและรูปร่างของเบาะนั่ง 
เนื่องจากอุปกรณ์นิรภัยสําหรับเด็กของผู้ผลิตบางรายอาจไม่เหมาะสมกับรถของคุณหากทดลองคาดเข็มขัดนิรภัยแล้ว",docs/Text_PDF_.pdf,"['กับตัว', 'ไม่เหมาะสม', 'ได้พอดี', 'อาจไม่', 'เลือก']"
53,เมื่อทำความสะอาดพื้นผิวด้านนอกของกระจกหน้า ควรปิดใช้งานเซ็นเซอร์ตรวจจับน้ำฝนหรือไม่?,"ใช่, เมื่อทำความสะอาดพื้นผิวด้านนอกของกระจกหน้าควรปิดใช้งานเซ็นเซอร์ตรวจจับน้ำฝนเพื่อป้องกันการเกิดความผิดพลาดในการตรวจจับน้ำฝนได้",130,"สวิตช์ไปที่ตําแหน่ง  “OFF” เพื่อปิดใช้งานเซ็นเซอร์  ตรวจจับนํ้าฝน   
-เมื่อทําความสะอาดพื้นผิวด้านนอกของกระจกหน้า  หากคุณสัมผัสที่ด้านบนของเซ็นเซอร์ตรวจจับ  นํ้าฝน  
 
ข้อควรระวัง   
-เมื่อทําความสะอาดพื้นผิวด้านนอกของกระจก  หน้า หากคุณใช้ผําเช็ดที่ด้านบนของเซ็นเซอร์  ตรวจจับนํ้าฝน   
-เมื่อใช้เครื่องล้างรถอัตโนมัติ   
-มีแรงกระแทกเข้าที่กระจกหน้า   
-มีแรงกระแทกเข้าที่เซ็นเซอร์ตรวจจับนํ้าฝน   
 หมายเหตุ   
-อย่าปิดบังเซ็นเซอร์โดยติดสติกเกอร์หรือฉลากที่  กระจกหน้า  นอกจากนี้ห้ามเคลือบสารกันนํ้าบน กระจกหน้า  เซ็นเซอร์ตรวจจับนํ้าฝนจะไม่สามารถ",docs/Text_PDF_.pdf,"['งาน', 'ควรระวัง', 'พื้นผิว', 'ฉลาก', 'OFF']"
54,หากไม่สามารถเปลี่ยนโหมดการทำงานเป็น OFF ได้ในกรณีที่รถเสียกลางทาง (รถรุ่นที่ติดตั้งระบบกุญแจอัจฉริยะ) จะต้องทำอย่างไร?,"หากไม่สามารถเปลี่ยนโหมดการทำงานเป็น OFF ได้ในกรณีที่รถเสียกลางทาง (รถรุ่นที่ติดตั้งระบบกุญแจอัจฉริยะ) คุณควรทำตามขั้นตอนต่อไปนี้:

1. ปรับโหมดการทำงานไปที่ ""ON"" และปล่อยให้โหมดการทำงานอยู่ที่ ""ON"" เป็นเวลาสั้นๆ
2. จากนั้นปรับโหมดการทำงานไปที่ ""ACC"" (การทำงานเฉพาะระบบไฟฟ้า) และปล่อยให้โหมดการทำงานอยู่ที่ ""ACC"" เป็นเวลาสั้นๆ
3. ทำซ้ำขั้นตอนที่ 1-2 อีก 2 ครั้ง
4. ปรับโหมดการทำงานไปที่ ""OFF"" และปลดล็อกพวงมาลัย

หากคุณไม่สามารถเปลี่ยนโหมดการทำงานเป็น OFF ได้หลังจากทำขั้นตอนดังกล่าว คุณควรติดต่อศูนย์บริการของผู้ผลิตรถยนต์เพื่อขอความช่วยเหลือเพิ่มเติม อาจมีปัญหาที่เกี่ยวข้องกับระบบกุญแจอัจฉริยะที่ต้องการการซ่อมแซมหรือเปลี่ยนแปลง",273,"24UT(THAI) _T00UMA000P_OM_THAI.indb 33  
22/3/2566 11:36:58 
 
 
284 
 
24UT(THAI) _T00UMA000P_OM_THAI.indb 34 24UT(THAI) _T00UMA000P_OM_THAI.indb 
34 22/3/2566 11:36:58 22/3/2566 11:36:58 
 
 285 
 
8  
เมื่อเกิดเหตุฉุกเฉิน   
เมื่อรถเสียกลางทาง  ......................................................................................................8-2  
หากไม่สามารถเปลี่ยนโหมดการทํางานเป็น  OFF ได้ (รถรุ่นที่ติดตั้งระบบกุญแจอัจฉริยะ ) 
.......................................................................",docs/Text_PDF_.pdf,"['_T00UMA000P_OM_', 'T00UMA000P_OM_THAI.indb', 'T00UMA000P_OM_', 'THAI.indb33', '284']"
55,คู่มือการใช้งานนี้มีกี่หน้า?,คู่มือการใช้งานนี้มีทั้งหมด 72 หน้า,250,24UT(THAI) _T00UMA000P_OM_THAI.indb 2,docs/Text_PDF_.pdf,"['T00UMA000P_OM_THAI.indb', '_T00UMA000P_OM_', 'T00UMA000P_OM_', '24UT', 'THAI']"
56,หากต้องการเปลี่ยนหลอดไฟในรถ ต้องใช้หลอดใหม่ชนิดใด?,ต้องใช้หลอดไฟที่เหมาะสมกับรถของคุณ โดยสามารถตรวจสอบได้จากคู่มือการใช้งานหรือคู่มือซ่อมบำรุงของรถ หรือสามารถสอบถามเจ้าหน้าที่บริการรถยนต์หรือร้านอะไหล่รถยนต์เพื่อขอคำแนะนำเพิ่มเติมได้,312,"ให้นํารถเข้าตรวจสอบที่ ศูนย์บริการมิตซูบิชิที่ได้รับอนุญาต  
 
ตําแหน่งและขนาดของหลอดไฟ  
E01003201587 
 
ข้อควรระวัง  
● ในการเปลี่ยนหลอดไฟ  ต้องใช้หลอดใหม่ชนิดเดิมที่มีกําลังไฟและสีเหมือนเดิม หากคุณติดตั้งหลอดไฟแบบอื่น  
หลอดอาจทํางานผิดปกติหรือเปิดไม่ติดและอาจทําให้ไฟไหม้รถได้  
 
ด้านนอกรถ  
E01003306248 
■ ด้านหน้า  
ไฟหน้าแฮโลเจน  
1- ไฟเลี้ยวด้านหน้า : 21 W (WY21W)  
2- ไฟหรี่: 5 W (W5W)  
3- ไฟเลี้ยวด้านข้าง (บนกระจกมองข้าง )*: \uf02d 
4- ไฟเลี้ยวด้านข้าง (บนโป๋งซุ้มล้อ )*: 5W 
5- ไฟหน้า, ไฟสูง/ตํ่า: 60/55 W (H4)  
6- ไฟตัดหมอกด้านหน้า : \uf02d  
รหัสในวงเล็บแสดงชนิดของหลอดไฟ",docs/Text_PDF_.pdf,"['W5W', 'E01003306248', 'E01003201587', 'WY21W', 'ตํ่า']"
57,ต้องทำอย่างไรถึงจะสามารถเปิดระบบ HDC ON ได้ในรถ?,"ในการเปิดระบบ HDC ON ในรถ คุณต้องทำตามขั้นตอนต่อไปนี้:

1. ให้รถจอดสนิท
2. เลื่อนคันเกียร์ไปที่ตำแหน่ง ""D"" (ขับเคลื่อน) หรือตำแหน่ง ""R"" (เกียร์ถอย)
3. กดสวิตช์ HDC
4. ตรวจสอบให้แน่ใจว่าไฟแสดง HDC สว่างแล้ว โดยระบบ HDC จะเปิด ON (เตรียมพร้อม)

โปรดทราบว่าหลังจากกดสวิตช์ HDC ระบบ HDC จะเปิดเตรียมพร้อมภายในสองสามวินาที และหากกดสวิตช์ HDC ซ้ำๆ หลังจากที่ตั้งค่าระบบ HDC เป็น ON (เตรียมพร้อม) ระบบ HDC จะกลับเป็น OFF ซึ่งเป็นการทำงานของฟังก์ชันป้องกัน หลังจากปิด OFF ระบบ HDC จะไม่สามารถเปิดเป็น ON (เตรียมพร้อม) ได้แม้จะกดสวิตช์อีกครั้ง",201,"HDC หากต้องการเปิดระบบ HDC ON ให้สตาร์ทเครื่อ งยนต์ใหม่แล้วกดสวิตช์  HDC อีกครั้ง 
หมายเหตุ  
● ไม่สามารถตั้งระบบ  HDC เป็น ON (เตรียมพร้อม) ได้ในสภาวะต่อไปนี้  
○ ความเร็วรถ: ประมาณ  20 กม./ชม. ขึ้นไป  
○ ล็อกเฟืองท้ายหลัง  (หากมีติดตั้ง ): เปิดใช้งาน  
○ ระบบเบรก: อุณหภูมิเบรกสูง  
○ ไฟเตือน  ASTC: สว่าง  
ให้ดูเรื่อง  “ไฟเตือน  ASTC” หน้า 6-73 
 
การควบคุมเบรกของระบบ  HDC จะทํางานในกรณีต่อไปนี้  
● ความเร็วรถ: ไม่เกิน  20 กม./ชม. 
● ไม่มีการใช้งานคันเร่งหรือแป้นเบรก  
เมื่อการควบคุมทํางาน  ไฟแสดง  HDC จะกะพริบ  และไฟเบรกและไฟเบรกดวงที่  3 จะสว่าง",docs/Text_PDF_.pdf,"['งาน', 'ต้องการเปิด', 'จะสว่าง', 'ดวงที่', 'ดูเรื่อง']"
58,ชิ้นส่วนที่เป็นพลาสติกควรหลีกเลี่ยงการสัมผัสกับสารเคมีหรือน้ำมันเชื้อเพลิง เพราะอาจทำให้เกิดอันตรายหรือเสียหายได้ใช่ไหม?,"ใช่, คุณพูดถูกต้องครับ การสัมผัสชิ้นส่วนที่เป็นพลาสติกกับสารเคมีหรือน้ำมันเชื้อเพลิงอาจทำให้เกิดอันตรายหรือเสียหายได้ สารเคมีหรือน้ำมันเชื้อเพลิงอาจทำให้เกิดรอยด่าง แตกร้าว หรือสีหลุดลอกได้ ดังนั้นควรหลีกเลี่ยงการสัมผัสเหล่านี้กับชิ้นส่วนพลาสติก และหากสัมผัสแล้วให้รีบเช็ดออกด้วยผ้านุ่มหรือหนังชามัวส์ชุบน้ำผสมน้ำยาทำความสะอาดที่เป็นกลางแล้วล้างด้วยน้ำทันที",291,"ข้อควรระวัง  
 อย่าให้ชิ้นส่วนที่เป็นพลาสติกสัมผัสถูกนํ้ามันเชื้อเพลิง  นํ้ามันเบรก  นํ้ามันเครื่อง  จาระบีทินเนอร์  
และนํ้ากรด  (อิเล็กโทรไลต์ของแบตเตอรี่ ) เพราะอาจทําให้เป็นรอยด่าง  แตกร้าว หรือสีหลุดลอกได้  
นอกจากนี้อย่าลืมหลีกเลี่ยงการสัมผัสกับสารเคมีเช่น  วัสดุเคลือบ  แม้เพียงช่วงสั้นๆ  เพราะจะทําให้  
เกิดการแตกร้าวที่ทําให้นํ้าเข้าไปในหลอดได้หากสิ่งเหล่านี้สัมผัสถูกชิ้นส่วนพลาสติก  ให้รีบเช็ด  
ออกด้วยผํานุ่มหรือหนังชามัวส์ชุบนํ้าผสมนํ้ายาทําความสะอาดที่เป็นกลางแล้วล้างด้วยนํ้าทันที  
 
ชิ้นส่วนที่ชุบโครเมียม",docs/Text_PDF_.pdf,"['มัวส์ชุบนํ้าผสมนํ้ายาทํา', 'ชามัวส์ชุบน', 'ควรระวัง', 'อาจทํา', 'อย่าให้']"
59,"เมื่อกดสวิตช์ SYNC แล้วตัวแสดง ""SYNC"" ปรากฏขึ้น อุณหภูมิด้านผู้โดยสารจะถูกควบคุมอย่างไร?","เมื่อกดสวิตช์ SYNC แล้วตัวแสดง ""SYNC"" ปรากฏขึ้น อุณหภูมิด้านผู้โดยสารจะถูกควบคุมให้เหมือนกับอุณหภูมิด้านคนขับที่ตั้งค่าไว้ ดังนั้น อุณหภูมิด้านผู้โดยสารจะปรับให้ตรงกับอุณหภูมิด้านคนขับที่ตั้งค่าไว้",261,"• เมื่อตัวแสดง  “SYNC” (A) ปรากฏขึ้นโดยการกด สวิตช์ SYNC อุณหภูมิด้านผู้โดยสารจะถูกควบคุม 
ให้เหมือนกับอุณหภูมิด้านคนขับที่ตั้งค่าไว้  เมื่อตัว แสดง “SYNC” (A) ปรากฏขึ้น  หากกดสวิตช์ควบคุม  อุณหภูมิด้านคนขับ 
อุณหภูมิด้านผู้โดยสารที่ตั้งค่าไว้  จะถูกปรับให้ตรงกับด้ านคนขับ   
 
การเปิด /ปิดระบบปรับอากาศ  E00774100271  
กดสวิตช์เครื่องปรับอากาศเพื่อเปิดเครื่องปรับอากาศ  ไฟแสดง  (A) จะสว่างขึ้น   
กดสวิตช์อีกครั้งเพื่อปิดเครื่องปรับอากาศ   
24UT(THAI) _T00UMA000P_OM_THAI.indb 18  22/3/2566 11:36:52 
 
269 
 
7-19 การใช้อุปกรณ์อํานวยความสะดวก  
ระบบไหลเวียนอากาศด้านหลัง * 7",docs/Text_PDF_.pdf,"['_T00UMA000P_OM_', 'T00UMA000P_OM_THAI.indb', 'T00UMA000P_OM_', 'E00774100271', 'ขับ']"
60,การตั้งค่า ASC อยู่หน้าไหนของเมนูการตั้งค่า?,"การตั้งค่า ASC อยู่ในหน้าเมนู ""ASC Setting"" ซึ่งสามารถเข้าถึงได้โดยทำตามขั้นตอนดังนี้:
1. กดปุ่ม ""Settings"" ในหน้าจอแสดงข้อมูลรวม
2. ใช้แป้นเลื่อนเพื่อเลือกเมนู ""ASC Setting""
3. เลือก ""System"" และกดแป้นเลื่อน
4. จากนั้นคุณจะสามารถตั้งค่า ASC ได้ในหน้าต่างนั้น",36,"ะ”หน้า3-13หมายเหตุ  
-
 เนื่องจากกุญแจอัจฉริยะรับสัญญาณเพื่อสื่อสารกับตัวส่งสัญญาณในรถแบตเตอรี่จะเสื่อมลงอย่างต่อเนื่องแม้จะไม่ได้ใช้งานกุญแจอัจฉริยะ อา
ยุการใช้งานแบตเตอรี่คือ 1ถึง2ปีขึ้นอยู่กับสภาพการใช้งานเมื่อแบตเตอรี่เสื่อมสภาพให้เปลี่ยนแบตเตอรี่ตามขั้นตอนที่ระบุไว้ในคู่มือนี้หรือนําไปเปลี่ยน
ที่ศูนย์บริการมิตซูบิชิที่ได้รับอนุญาตให้ดูเรื่อง “ขั้นตอนการเปลี่ยนแบตเตอรี่กุญแจ ”หน้า3-6 
-
 เนื่องจากกุญแจอัจฉริยะรับสัญญาณอย่างต่อเนื่องการรับคลื่นวิทยุแรงสูงอาจส่งผลกระทบต่อการเสื่อมสภาพของแบตเตอรี่อย่าวางกุญแจใก
ล้โทรทัศน์คอมพิวเตอร์ส่วนบุคคลหรืออุปกรณ์ไฟฟ้าต่างๆ",docs/Text_PDF_.pdf,"['ใก\nล้โทรทัศน์คอมพิวเตอร์', 'งาน', 'แรงสูง', 'กับตัว', 'เปลี่ยนแบตเตอรี่']"
