,questions,answer,doc_page,doc_content,doc_source,label
78,ไฟเตือนตรวจเช็คเครื่องยนต์จะสว่างขึ้นหรือกะพริบเมื่อไหร่?,ไฟเตือนตรวจเช็คเครื่องยนต์จะสว่างขึ้นหรือกะพริบเมื่อเครื่องยนต์ทำงานอยู่และมีปัญหาหรือข้อผิดพลาดในระบบการทำงานของเครื่องยนต์ อย่างไรก็ตาม หากไฟเตือนตรวจเช็คเครื่องยนต์สว่างขึ้นหรือกะพริบ ควรจะดับเครื่องยนต์และนำรถเข้ารับการตรวจสอบที่ศูนย์บริการมิตซูบิชิที่ได้รับอนุญาตที่ใกล้ที่สุด,120,"ไฟเตือนตรวจเช็คเครื่องยนต์  E00502603658  
ไฟเตือนนี้เป็นส่วนหนึ่งของระบบ  วิเคราะห์ป้ญหาของเครื่องยนต์ซึ่งคอย ควบคุมการปล่อยไอเสีย  ระบบควบคุม  เครื่องยนต์  หรือระบบควบคุม  A/T 
ถ้าตรวจพบป้ญหาขึ้นในส่วนใดส่วนหนึ่งของระบบเหล่านี้  ไฟจะสว่างขึ้นหรือกะพริบ  ให้คุณรีบนํารถเข้ากับการตรวจสอบระบบ แม้ว่ารถจะยัง  
คงขับได้และไม่ต้องลากจูง ไฟนี้ยังสว่างขึ้นเมื่อสวิตช์กุญแจเปลี่ยนเป็น “ON” หรือ โหมดการทํางานอยู่ที่  ON และดับลงหลังจากสตาร์ท  
เครื่องยนต์แล้ว  หากไฟไม่ดับหลังจากเครื่องยนต์สตาร์ท ให้นํารถเข้ารับการตรวจสอบที่ศูนย์บริการมิตซูบิชิที่ได้  รับอนุญาต  
 ข้อควรระวัง",docs/Text_PDF_.pdf,"['งาน', 'E00502603658', 'ขับ', 'ควรระวัง', 'หา']"
79,หากประตูถูกปลดล็อกขณะขับรถ ประตูจะล็อกโดยอัตโนมัติหรือไม่?,หากประตูถูกปลดล็อกขณะขับรถ ประตูจะไม่ล็อกโดยอัตโนมัติ,44,"-  หากประตูถูกปลดล็อกขณะขับรถประตูจะไม่ล็อกโดยอัตโนมัติ  
-  ประตูทุกบานจะปลดล็อกโดยอัตโนมัติเมื่อความเร็วรถอยู่ที่ประมาณ 4กม.ชม.หรือน้อยกว่าและประตูด้านคนขับถูกเปิด 
-  ฟ้งก์ชันเหล่านี้เปิดใช้งานเมื่อรถถูกส่งมาจากโรงงานหากคุณต้องการเปิดหรือปิดใช้งานฟ้งก์ชันเหล่านี้ให้ดําเนินการตามขันตอนต่อไปนี  
1.ปิดประตูทุกบาน  
2.บิดสวิตช์กุญแจไปทีตําแหน่ง ""ON""หรือเปิดโหมดการทํางานเป็น ON 
3.ภายใน 20วินาทีหลังจากบิดสวิตช์สตาร์ทเครือง-
ยนต์ไปทีตําแหน่ง"" ON""หรือตังโหมดการทํางานเป็น ONให้กดสิวตช์บนสวิตช์ล็อกประตูกลางค้างไว้เป็นเวลา 5วินาทีหรือมากกว่าเพือสลับระหว่างก",docs/Text_PDF_.pdf,"['งาน', 'ขับ', '', 'ขับถูก', 'รถประตู']"
80,รถรุ่นที่มีเครื่องปรับอากาศแบบควบคุมสภาพอากาศอัตโนมัติสามารถป้องกันไม่ให้กระจกเป็นฝ้าได้หรือไม่?,"ใช่ รถรุ่นที่มีเครื่องปรับอากาศแบบควบคุมสภาพอากาศอัตโนมัติสามารถป้องกันไม่ให้กระจกเป็นฝ้าได้ โดยเมื่อใช้ตำแหน่ง "" "" หรือ "" "" จะต้องตั้งตำแหน่งอากาศภายนอกเพื่อป้องกันไม่ให้กระจกเป็นฝ้า",252,"หมายเหตุ      
• สําหรับรถรุ่นที่มีเครื่องปรับอากาศแบบควบคุมสภาพอากาศอัตโนมัติ /รถรุ่นที่มีเครื่องปรับอากาศแบบควบคุมสภาพอากาศอัตโนมัติ  
Dual-zone เมื่อใช้ตําแหน่ง  “ ” หรือ  “ ” ให้ตั้งตําแหน่งอากาศภายนอกเพื่อป้องกันไม่ให้กระจกเป็นฝ้า      
• สําหรับรถรุ่นที่มีเครื่องปรับอากาศแบบแมนนวล  เมื่อใช้ปุ๋มปรับโหมดระหว่างตําแหน่ง  “ ” และ  “ ” 
ลมจะไหลไปยังส่วนด้านบนของห้องโดยสารเป็นหลัก  เมื่อใช้ปุ๋ม ปรับโหมดระหว่างตําแหน่ง  “ ” และ “ ” ลมจะไหลไปยังบริเวณขาเป็นหลัก      
• สําหรับรถรุ่นที่มีเครื่องปรับอากาศแบบแมนนวล  เมื่อใช้ปุ๋มปรับโหมดระหว่างตําแหน่ง  “ ” และ  “ ” ลมจะไหลไปยังบริเวณขาเป็นหลัก",docs/Text_PDF_.pdf,"['มีเครื่อง', '', '', 'นวล', 'รถรุ่น']"
81,ไฟเตือนแรงดันน้ำมันเครื่องเตือนระดับน้ำมันเครื่องหรือไม่?,ไฟเตือนแรงดันน้ำมันเครื่องไม่ใช่เตือนระดับน้ำมันเครื่อง แต่เตือนเมื่อมีปัญหาเกี่ยวกับระบบน้ำมันเครื่อง เช่น ระดับน้ำมันต่ำหรือมีปัญหาอื่นๆ ดังนั้น ถ้าไฟเตือนนี้สว่างขึ้นควรตรวจสอบปัญหาที่เกี่ยวข้องกับระบบน้ำมันเครื่องของรถ,121,"หมายเหตุ   
-ไฟเตือนแรงดันนํ้ามันเครื่องนี้ไม่ใช่เตือนระดับ นํ้ามันเครื่อง  ให้ตรวจดูปริมาณนํ้ามันเครื่องจาก  ก้านวัดนํ้ามันเครื่อง   
 
ไฟเตือนประตูปิดไม่สนิท  (รถรุ่นที่ติดตั้ง  หน้าจอแสดงข้อมูลรวม  - แบบที่ 2) E00503302134  
ไฟนี้จะสว่างขึ้นเมื่อประตูเปิดอยู่  หรือปิดไม่สนิท   
 
ข้อควรระวัง   
ควรตรวจดูให้แน่ใจว่าไฟเตือนนี้ดับก่อนจะออกรถ   
 
ไฟเตือนการทํางานไฟหน้า (รถรุ่นที่ติดตั้ง  หน้าจอแสดงข้อมูลรวม  - แบบที่ 2) E00569000137  
ไฟเตือนนี้ในหน้าปัดจะสว่างเมื่อ  ไฟหน้ามีความผิดปกติ   
 
ข้อควรระวัง",docs/Text_PDF_.pdf,"['E00503302134', 'E00569000137', 'งาน', 'ไฟหน้า', 'เตือนการ']"
82,อุปกรณ์ภายนอกด้านหน้าของรถมีอะไรบ้าง?,"อุปกรณ์ภายนอกด้านหน้าของรถมีดังนี้:
- ระบบตรวจสอบแรงดันลมยาง (TPMS)
- การเปลี่ยนยางหน้า
- ยางหน้า
- แรงดันลมยางหน้า
- การสลับยางหน้า
- ยางสำหรับขับบนหิมะหน้า
- ขนาดยางและล้อหน้า
- ไฟเบรกดวงที่สามหน้า
- ไฟแสดงระบบเตือนจุดอับสายตา (BSW)
- ฝาปิดท้ายกระบะหน้า
- กล้องมองหลังหน้า
- มอนิเตอร์รอบทิศทางหน้า
- เซ็นเซอร์จอดรถหน้า
- ไฟส่องป้ายทะเบียนหน้า
- ยางอะไหล่หน้า
- เซ็นเซอร์จอดรถหน้า",7,"อุปกรณ์ภายนอก –ด้านหน้า  
ภาพโดยรวมคู่มืออย่างง่าย 1-6 
ดับเบิลแค็บ  
- กล้องด้านหน้า (สําหรับ AHBและFCM)หน้า5-43,6- 73 
- เซ็นเซอร์ตรวจวัดนํ้าฝนหน้า 5-47 
- ที่ป้ดนํ้าฝนและฉีดนํ้าล้างกระจกหน้า 5-45,10-16 
- ไฟหน้าแบบแฮโลเจนไฟหน้าแบบ LEDกล้องมองหน้าหน้า6 -103เซ็นเซอร์ (สําหรับ FCM)หน้า6-73 
- ไฟเลี้ยวด้านหน้าหน้า5 -44,10-24,10-27 
- เซ็นเซอร์จอดรถหน้า 6-88 
- ไฟหรี่หน้า 5-40,10-24,10-27 
- ไฟหน้า,ไฟสูงตํ่าหน้า5 -40,10-24,10-26 
- ไฟตัดหมอกด้านหน้าหน้า 5-45,10-24 
- ไฟเลี้ยวด้านหน้าหน้า5 -44,10-24,10-27",docs/Text_PDF_.pdf,"['44:10', '24:10', '44:10', '24:10', '24:10']"
83,"เมื่อเฟืองท้ายหลังถูกล็อกขณะที่ปุ่มเลือกโหมดการขับเคลื่อน 4 ล้ออยู่ที่ตำแหน่ง ""4L"" หรือ ""4H"" (EasySelect 4WD), ตำแหน่ง ""4LLc"" หรือ ""4HLc"" (SuperSelect 4WD II) การเปลี่","ยนโหมดการขับเคลื่อน 4 ล้อไปที่ตำแหน่ง ""2H"" (Easy Select 4WD), ตำแหน่ง ""2H"" หรือ ""4H"" (Super Select 4WD II) จะปลดล็อกเฟืองท้ายหลังโดยอัตโนมัติ",185,"หมายเหตุ  
● ล็อกเฟืองท้ายหลังจะไม่ทํางานเมื่อปุ่มเลือกโหมดการขับเคลื่อน  4 ล้ออยู่ที่ตําแหน่ง  “2H” (EasySelect 4WD), ตําแหน่ง  
“2H” หรือ “4H” (Super Select 4WD II) 
● เมื่อเฟืองท้ายหลังถูกล็อกขณะที่ปุ่มเลือกโหมดการขับเคลื่อน  4 ล้ออยู่ที่ตําแหน่ง  “4L” หรือ “4H” (EasySelect 4WD), 
ตําแหน่ง  “4LLc” หรือ “4HLc” (SuperSelect 4WD II) การเปลี่ยนโหมดการขับเคลื่อน  4 ล้อไปที่ตําแหน่ง  “2H” 
(Easy Select 4WD), ตําแหน่ง “2H” หรือ “4H” (Supe r Select 4WD II) จะปลดล็อกเฟืองท้ายหลังโดยอัตโนมัติ",docs/Text_PDF_.pdf,"['SuperSelect', '4WD', '4WD', '4WD:', 'เมื่อเฟือง']"
84,การเหยียบเบรกให้แรงกว่าปกติเมื่อเครื่องยนต์ยังไม่สตาร์ท อาจทำให้เครื่องยนต์สตาร์ทไม่ติดหรือไม่?,"ใช่, การเหยียบเบรกให้แรงกว่าปกติเมื่อเครื่องยนต์ยังไม่สตาร์ทอาจทำให้เครื่องยนต์สตาร์ทไม่ติด ซึ่งอาจเกิดจากการทำงานของระบบช่วยผ่อนแรงของรถที่หยุดทำงานเมื่อเบรกถูกเหยียบแรง ดังนั้นควรระวังในการเหยียบเบรกให้แรงเกินไปเมื่อเครื่องยนต์ยังไม่สตาร์ท",151,"1. คาดเข็มขัดนิรภัย  
2. ตรวจให้แน่ใจว่าใส่เบรกมือแล้ว  
3. เหยียบเบรกค้างไว้ให้มั่นคงด้วยเท้าขวา  
 
หมายเหตุ  
● เมื่อเครื่องยนต์ยังไม่สตาร์ท อาจจะเหยียบเบรกได้ยากและรถอาจไม่สามารถตรวจจับการทํางานของแป้น  ดังนั้น 
เครื่องยนต์อาจจะสตาร์ทไม่ติด  ในกรณีนี้พยายามเหยียบเบรกให้แรงกว่าปกติ  
 
4. สําหรับรถเกียร์ธรรมดา  ให้เหยียบแป้นคลัตช์จนสุดและเลื่อนคันเกียร์ไปที่ตําแหน่ง “N” ( เกียร์ว่าง ) สําหรับรถเกียร์อัตโนมัติ  
ดูให้แน่ใจว่าคันเกียร์อยู่ที่ตําแหน่ง  “P” (จอด )",docs/Text_PDF_.pdf,"['งาน', 'จอด', 'มั่นคง', 'เบรกมือ', 'แน่ใจว่า']"
85,การทิ้งแบตเตอรี่ลงในไฟหรือเตาเผาหรือบีบอัดหรือตัดแบตเตอรี่ด้วยเครื่องจักรอาจทำให้แบตเตอรี่เสียหายได้หรือไม่?,"ใช่, การทิ้งแบตเตอรี่ลงในไฟหรือเตาเผาหรือบีบอัดหรือตัดแบตเตอรี่ด้วยเครื่องจักรอาจทำให้แบตเตอรี่เสียหายได้ ซึ่งอาจทำให้แบตเตอรี่รั่วไฟหรือระเบิดได้ ดังนั้นควรปฏิบัติตามคำแนะนำและข้อควรระวังที่ระบุไว้ในคู่มือการใช้งานของแบตเตอรี่เสมอ",33,"- เพื่อป้องกันการระเบิดหรือการรั่วไหลของของเหลวหรือแก๊สที่ติดไฟได้  
o อย่าเปลี่ยนไปใช้แบตเตอรี่ที่ไม่ถูกต้องใช้แบตเตอรี่แบบเดียวกันหรือเทียบเท่า  
o อย่าทิ้งแบตเตอรี่ลงในไฟหรือเตาเผาและอย่าบีบอัดหรือตัดแบตเตอรี่ด้วยเครื่องจักร  
o อย่าใช้งานจัดเก็บหรือให้แบตเตอรี่สัมผัสอุณหภูมิสูงมากหรือแรงดันอากาศตํ่ามาก 
ข้อควรระวัง  
-
 ห้ามถอดแยกหรือถอดชิ้นส่วนภายในของกุญแจนอกเหนือจากที่อธิบายไว้ด้านล่างเนื่องจากมีความเป็นไปได้ที่จะไม่สามารถประกอบกลับไ
ด้ 
- เมื่อเปิดตัวเรือนกุญแจแล้วระวังอย่าให้นํ้าฝุ๋นฯลฯเข้าไปได้และอย่าแตะต้องส่วนประกอบข้างใน",docs/Text_PDF_.pdf,"['งาน', 'เผาและ', 'หรือแรง', 'ให้นํ้าฝุ๋นฯล', 'ควรระวัง']"
86,การตรวจเช็คระดับน้ำมันพวงมาลัยเพาเวอร์ในกระปุกน้ำมันขณะที่เครื่องยนต์ทำงานอยู่ในรอบเดินเบาจำเป็นหรือไม่?,ไม่ควรตรวจเช็คระดับน้ำมันพวงมาลัยเพาเวอร์ในกระปุกน้ำมันขณะที่เครื่องยนต์ทำงานอยู่ในรอบเดินเบา ซึ่งเป็นการเปิดกระปุกน้ำมันขณะที่ระบบน้ำมันยังอยู่ในการทำงาน อาจทำให้น้ำมันพวงมาลัยเพาเวอร์หกล้มเกิดการรั่วไหล ดังนั้นควรรอให้เครื่องยนต์ดับและอุณหภูมิลดลงก่อนที่จะตรวจสอบระดับน้ำมันพวงมาลัยเพาเวอร์,298,"การตรวจเช็คระดับนํ้ามัน 
ตรวจเช็คระดับนํ้ามันพวงมาลัยเพาเวอร์ในกระปุกนํ้ามันขณะที่เครื่องยนต์ทํางานอยู่ในรอบเดินเบา  
โดยระดับนํ้ามันจะต้องอยู่ระหว่างขีด  “MAX” กับ “MIN”ข้างกระปุกนํ้ามัน  เติมนํ้ามันเมื่อจําเป็น  
ประเภทของนํ้ามัน  
ใช้นํ้ามัน  “MITSUBISHI MOTORS GENUINE PSF (Power Steering Fluid)”  
 
แบตเตอรี่  
สภาพของแบตเตอรี่มีส่วนสําคัญมากในการช่วยให้เครื่องยนต์สตาร์ทติดง่ายและอุปกรณ์ไฟฟ้าในรถสามารถทํางานได้อย่างมีประสิทธิภาพ  
จึงควรมีการตรวจเช็คอย่างสมํ่าเสมอ  โดยเฉพาะอย่างยิ่งในช่วงอากาศเย็น   
ข้อควรระวังเกี่ยวกับแบตเตอรี่  
คําเตือน",docs/Text_PDF_.pdf,"['SteeringFluid', 'งาน', 'ควรระวัง', 'MITSUBISHI', 'MAX']"
87,ค่าอัตราการสิ้นเปลืองเชื้อเพลิงที่แสดงบนหน้าจอแสดงอัตราการสิ้นเปลืองเชื้อเพลิงเป็นข้อมูลคร่าวๆหรือข้อมูลที่แสดงอัตราการสิ้นเปลืองเชื้อเพลิงจริง?,ค่าอัตราการสิ้นเปลืองเชื้อเพลิงที่แสดงบนหน้าจอแสดงอัตราการสิ้นเปลืองเชื้อเพลิงเป็นข้อมูลที่แสดงอัตราการสิ้นเปลืองเชื้อเพลิงจริง โดยอัตราการสิ้นเปลืองเชื้อเพลิงจะแสดงในโหมดการประหยัดน้ำมันเชื้อเพลิงขณะขับขี่ และโหมดการรีเซ็ตอัตโนมัติหรือแมนนวล ขึ้นอยู่กับการกดสวิตช์หน้าจอแสดงข้อมูลรวมและเวลาที่ค้างไว้ในหน้าจอช่วงการขับรถ,102,"- “---” จะปรากฏขึ้นเมื่อไม่สามารถวัดค่าอัตราการ  สิ้นเปลืองเชื้อเพลิงโดยเฉลี่ยได้   
 
หมายเหตุ    
-การตั้งค่าครั้งแรก  (ค่าเริ่มต้น ) คือ “โหมดรีเซ็ตแบบ  อัตโนมัติ ”   
-อัตราการสิ้นเปลืองเชื้อเพลิงโดยเฉลี่ยจะขึ้นอยู่กับ  สภาพการขับรถ  (สภาพถนน  วิธีการขับรถ  ฯลฯ) 
ค่าอัตราการสิ้นเปลืองเชื้อเพลิงที่แสดงอาจแตกต่าง จากอัตราการสิ้นเปลืองเชื้อเพลิงจริง ค่าอัตราการ  สิ้นเปลืองเชื้อเพลิงที่แสดงเป็นเพียงข้อมูลคร่าวๆ  
เท่านั้น  
-หน่วยความจําของโหมดรีเซ็ตแบบแมนนวลหรือ  โหมดรีเซ็ตแบบอัตโนมัติของหน้าจอแสดงอัตรา  การสิ้นเปลืองเชื้อเพลิงโดยเฉลี่ยจะถูกลบหากมี  
การถอดแบตเตอรี่",docs/Text_PDF_.pdf,"['แบบแมนนวล', 'ขับ', 'ปรากฏขึ้น', 'ค่าอัตรา', 'ขับรถ']"
88,"เมื่อเลือกโหมด ""NORMAL"" ของโหมดการขับเคลื่อน ต้องดูเรื่องอะไร?","ต้องดูเรื่อง ""โหมดการขับเคลื่อน"" หน้า 6-47",115,"แผงหน้าปัดและอุปกรณ์ควบคุม  5  
ไฟแสดงการทํางาน  ไฟเตือน  และรายการตัวแสดงบนหน้าจอแสดงข้อมูล  (หน้าจอแสดงข้อมูลรวม - แบบที่ 1) 5-32  
 
หน้าจอ: 
สาเหตุ: เมื่อเลือกโหมด “NORMAL” ของโหมดการขับเคลื่อน   
วิธีแก้ป้ญหา  (อ้างอิง): ให้ดูเรื่อง  “โหมดการขับเคลื่อน ” หน้า 6-47   
 
หน้าจอ: 
สาเหตุ: เมื่อเลือกโหมด “ROCK” ของโหมดการขับเคลื่อน   
วิธีแก้ป้ญหา  (อ้างอิง): ให้ดูเรื่อง  “โหมดการขับเคลื่อน ” หน้า 6-47   
 
หน้าจอ: 
สาเหตุ: เมื่อเลือกโหมด “MUD” ของโหมดการขับเคลื่อน   
วิธีแก้ป้ญหา  (อ้างอิง): ให้ดูเรื่อง  “โหมดการขับเคลื่อน ” หน้า 6-47  
 หน้าจอ:",docs/Text_PDF_.pdf,"['อ้างอิง', 'งาน', 'รายการตัว', 'NORMAL', 'NORMAL']"
89,"ต้องดูเรื่อง ""การใช้อุปกรณ์อำนวยความสะดวก"" หน้า 7-16?",ขออภัย ฉันไม่สามารถตอบคำถามของคุณได้ เนื่องจากข้อมูลที่ให้มาไม่มีข้อมูลเกี่ยวกับหน้าที่คุณต้องการดู กรุณาให้ข้อมูลเพิ่มเติมหรือคำถามที่ชัดเจนกว่านี้ ขอบคุณครับ,259,"o การปรับความเร็วมอเตอร์พัดลม    หน้า  7-17     
o การปรับการควบคุมอุณหภูมิ     หน้า  7-17  
24UT(THAI) _T00UMA000P_OM_THAI.indb 15   
22/3/2566 11:36:51 
 
266 
 
7-16 การใช้อุปกรณ์อํานวยความสะดวก  
เครื่องปรับอากาศแบบควบคุมสภาพอากาศอัตโนมัติ  Dual-zone* 7 
     
o การควบคุมอุณหภูมิด้านคนขับและด้านผู้โดยสาร อย่างอิสระ     หน้า  7-18     
o การเปิด /ปิดระบบปรับอากาศ     หน้า  7-18     
o การเปลี่ยนอากาศภายนอกและอากาศหมุนเวียน ภายใน    หน้า  7-19     
o การขับขี่ในสภาพอากาศภายนอกเป็นมลพิษ    หน้า  7-19  
 
หมายเหตุ",docs/Text_PDF_.pdf,"['T00UMA000P_OM_THAI.indb', '_T00UMA000P_OM_', 'T00UMA000P_OM_', '266', 'ขับ']"
90,ต้องทำอย่างไรเมื่อความเร็วรถลดลงต่ำกว่าประมาณ 30 กม./ชม.?,"เมื่อความเร็วรถลดลงต่ำกว่าประมาณ 30 กม./ชม., คุณควรทำตามเงื่อนไขต่อไปนี้:
- ตรวจสอบว่าคันเกียร์อยู่ที่ตำแหน่ง ""N"" (เกียร์ว่าง) หรือ ""P"" (จอด) หรือ ""N"" (เกียร์ว่าง) และหยุดรถ
- ตรวจจับวัตถุเคลื่อนที่ในมุมสูง ระบบ MOD จะทำงานหากเปิดประตูใดประตูหนึ่ง หากพับกระจกมองข้าง ระบบ MOD อาจทำงานไม่ถูกต้อง
- หากคุณลากรถเกียร์อัตโนมัติโดยที่ล้อขับเคลื่อนอยู่บนพื้น (แบบ B) ต้องแน่ใจว่าใช้ความเร็วและระยะทางไม่เกินจากที่กำหนดไว้ (ความเร็วในการลากรถ: 30 กม./ชม., ระยะทางในการลากรถ: 80 กม.)
- สำหรับรถเกียร์ธรรมดา, อย่าลากรถโดยให้ล้อหลังอยู่บนพื้น (แบบ B) และสำหรับรถเกียร์อัตโนมัติ, ให้เลื่อนคันเกียร์ไปที่ตำแหน่ง ""N"" (เกียร์ว่าง) และปลดเบรกมือ

โดยสรุป, คุณควรปฏิบัติตามเงื่อนไขดังกล่าวเพื่อให้ระบบ MOD ทำงานได้อย่างถูกต้องเมื่อความเร็วรถลดลงต่ำกว่าประมาณ 30 กม./ชม.",127,"แผงหน้าปัดและอุปกรณ์ควบคุม  5  
คันสวิตช์ไฟเลี้ยว  5-44  
 
เมื่อความเร็วรถลดลงตํ่ากว่าประมาณ  30 กม./ชม. ไฟหน้า ยังคงเป็นไฟตํ่า การปิด AHB ให้กดสวิตช์อีกครั้ง   
 
การบํารุงรักษาเซ็นเซอร์ภาพภายนอก  E00536800021  
 
เซ็นเซอร์ภาพภายนอก  (A) สําหรับ AHB อยู่ที่ด้านหน้าของกระจกมองหลัง เพื่อรักษาการทํางานให้ถูกต้องของ AHB 
และป้องกันการทํางานผิดพลาดของระบบ  โปรด ปฏิบัติตามสิ่งต่อไปนี้ :  
-หมั่นทําความสะอาดกระจกบังลมหน้าอยู่เสมอ   
-อย่าติดสติกเกอร์  (รวมถึงวัสดุโปร่งแสง ) หรือติดตั้ง  อุปกรณ์เสริมใกล้กับเซ็นเซอร์ภาพภายนอก",docs/Text_PDF_.pdf,"['ลดลงตํ่ากว่า', 'E00536800021', 'งาน', 'โปรด', 'อุปกรณ์เสริม']"
91,ระบบ FCM อาจไม่ทำงานในสภาวะใดบ้าง?,"ระบบ FCM อาจไม่ทำงานในสภาวะดังต่อไปนี้:
- รถคันหน้ามีลักษณะแคบ เช่น รถจักรยานยนต์
- ความเร็วระหว่างรถสองคันแตกต่างกันน้อยเกินไป
- ความเร็วรถในช่วงการทำงานสูง
- ระบบตรวจจับคนเดินถนนอาจไม่แจ้งเตือนครั้งแรกให้คนเดินถนน
- สภาวะที่มืดหรือสว่างรางๆ เช่น ในตอนกลางคืนหรือในอุโมงค์ รวมทั้งในกรณีที่ปิดหรือหรี่ไฟหน้ารถหรือรถคันหน้าปิดไฟท้าย
- กล้องคลาดเคลื่อน",213,"○ ระบบ FCM อาจไม่ทํางานหากรถคันหน้ามีลักษณะแคบ  (ตัวอย่างเช่น  รถจักรยานยนต์ ) 
○ ระบบ FCM อาจไม่ทํางานหากความเร็วระหว่างรถสองคันแตกต่างกันน้อยเกินไป  
○ ระบบ FCM อาจไม่จ่ายแรงเบรกเมื่อความเร็วรถในช่วงการทํางานสูง  
○ สําหรับคนเดินถนน ระบบ FCM ที่มีระบบตรวจจับคนเดินถนนอาจไม่แจ้งเตือนครั้งแรก  
○ ระบบ FCM อาจทํางานไม่ถูกต้อง หรืออาจตรวจจับรถคันหน้าหรือคนเดินถนนข้างหน้าไม่ได้ในสภาวะดังต่อไปนี้ : 
คําเตือน  
■ ในสภาวะที่มืดหรือสว่างรางๆ เช่น ในตอนกลางคืนหรือในอุโมงค์  รวมทั้งในกรณีที่ปิดหรือหรี่ไฟหน้ารถของท่าน  
หรือรถคันหน้าปิดไฟท้าย  
■ เมื่อทิศทางของกล้องคลาดเคลื่อน",docs/Text_PDF_.pdf,"['งาน', 'อาจทํา', 'ระหว่างรถ', 'อาจตรวจ', 'จับรถ']"
92,ตัวแสดงโหมดการขับเคลื่อน 4 ล้อแสดงสถานะการเปลี่ยนโหมดอย่างไร?,"ตัวแสดงโหมดการขับเคลื่อน 4 ล้อจะสว่างตามตำแหน่งปุ่มเลือกโหมดการขับเคลื่อน 4 ล้อดังนี้:

- ""2H"": ตัวแสดงจะสว่างที่ตำแหน่ง 2H
- ""4H"": ตัวแสดงจะสว่างที่ตำแหน่ง 4H
- ""4HLc"": ตัวแสดงจะสว่างที่ตำแหน่ง 4HLc
- ""4LLc"": ตัวแสดงจะสว่างที่ตำแหน่ง 4LLc

โดยตัวแสดงจะสว่างตามตำแหน่งปุ่มที่เลือกเพื่อแสดงสถานะการเปลี่ยนโหมดการขับเคลื่อน 4 ล้อ",180,"ตัวแสดงโหมดการขับเคลื่อน  4 ล้อและตัวแสดงการทํางาน  2WD/4WD  
E00606001774 
A: ตัวแสดงโหมดการขับเคลื่อน  4 ล้อ 
B: ตัวแสดงล้อหน้า  
C: ตัวแสดงล็อกเฟืองท้ายกลาง  
D: ตัวแสดงล้อหลัง  
E: ตัวแสดงความเร็วตํ่า  
เมื่อโหมดการทํางานอยู่ที่  ON ตัวแสดงโหมดการขับเคลื่อน  4 ล้อ (A) และตัวแสดงการทํางาน  2WD/4WD (B, C, D, E) 
จะแสดงสถานะการเปลี่ยนโหมด ตัวแสดงโหมดการขับเคลื่อน  4 ล้อและตัวแสดงการทํางาน  2WD/4WD 
จะสว่างตามตําแหน่งปุ่มเลือกโหมดการขับเคลื่อน  4 ล้อดังนี้: 
 
“2H”  “4H”  
ตําแหน่งปุ่มเลือกการขับเคลื่อน  4 ล้อ ตัวแสดง  
2H  
กําลังเปลี่ยนโหมดการขับเคลื่อน  4 ล้อ 
4H",docs/Text_PDF_.pdf,"['E00606001774', 'งาน', '2WD4WD', 'จะสว่าง', 'เร็วตํ่า']"
